lat,lon,risk,day,tier
40.60833333333334,-102.09999996666667,0.001903745088162388,2021-07-23,Top 10%
38.150000000000006,-103.64166663333334,0.0018624137296818313,2021-07-23,Top 10%
37.69166666666667,-103.51666663333334,0.001733431775594997,2021-07-23,Top 10%
40.48333333333334,-104.97499996666667,0.001647123871129126,2021-07-23,Top 10%
39.85833333333334,-102.68333330000002,0.0011696353842734146,2021-07-23,Top 10%
40.23333333333334,-104.84999996666667,0.001054207764390765,2021-07-23,Top 20%
37.85833333333334,-104.76666663333334,0.0010159680642165493,2021-07-23,Top 20%
40.06666666666667,-105.01666663333334,0.0010094104005693362,2021-07-23,Top 20%
40.60833333333334,-105.05833330000002,0.0009578471762971936,2021-07-23,Top 20%
37.900000000000006,-103.59999996666667,0.000800560080416972,2021-07-23,Top 20%
37.94166666666667,-103.47499996666667,0.000800560080416972,2021-07-23,Top 20%
40.35833333333334,-106.68333330000002,0.000658702739658638,2021-07-23,Top 20%
37.94166666666667,-103.51666663333334,0.0006153617363200964,2021-07-23,Top 20%
37.19166666666667,-103.09999996666667,0.0006122210796629124,2021-07-23,Top 20%
40.150000000000006,-105.43333330000002,0.000585325880138438,2021-07-23,Top 20%
37.775000000000006,-104.55833330000002,0.0005598991637231727,2021-07-23,Top 20%
38.025000000000006,-103.47499996666667,0.0005438938649577334,2021-07-23,Top 20%
38.150000000000006,-103.39166663333334,0.0005326336135410248,2021-07-23,Top 20%
37.94166666666667,-103.64166663333334,0.0005326336135410248,2021-07-23,Top 20%
40.525000000000006,-103.72499996666667,0.0005299533164336788,2021-07-23,Top 20%
38.025000000000006,-104.84999996666667,0.0005127288486804921,2021-07-23,Top 20%
37.23333333333334,-103.22499996666667,0.0005106526627012976,2021-07-23,Top 20%
40.98333333333334,-106.76666663333334,0.0004953749668105595,2021-07-23,Top 20%
40.60833333333334,-105.14166663333334,0.0004919899672669494,2021-07-23,Top 20%
40.19166666666667,-105.18333330000002,0.0004886854639349481,2021-07-23,Top 20%
39.35833333333334,-108.68333330000002,0.0004557080922168228,2021-07-23,Top 20%
38.150000000000006,-104.93333330000002,0.0004557080922168228,2021-07-23,Top 20%
38.150000000000006,-104.43333330000002,0.00044741763022120967,2021-07-23,Top 20%
37.60833333333334,-104.43333330000002,0.00044736442164266133,2021-07-23,Top 20%
40.35833333333334,-102.51666663333334,0.00043120503801827406,2021-07-23,Top 20%
40.19166666666667,-103.18333330000002,0.000424246370595317,2021-07-23,Top 20%
40.775000000000006,-103.22499996666667,0.00042379919057998017,2021-07-23,Top 20%
38.025000000000006,-103.72499996666667,0.00042219656572805783,2021-07-23,Top 20%
38.10833333333334,-103.30833330000002,0.0004104490309454978,2021-07-23,Top 20%
40.06666666666667,-102.76666663333334,0.00040306146981324063,2021-07-23,Top 20%
40.025000000000006,-102.18333330000002,0.00040306146981324063,2021-07-23,Top 20%
40.525000000000006,-102.55833330000002,0.00038882005492679375,2021-07-23,Top 20%
37.85833333333334,-103.51666663333334,0.00038334926226927634,2021-07-23,Top 20%
38.69166666666667,-104.30833330000002,0.0003815884773009014,2021-07-23,Top 20%
40.35833333333334,-102.18333330000002,0.0003811168972610799,2021-07-23,Top 20%
40.31666666666667,-102.14166663333334,0.0003811168972610799,2021-07-23,Top 20%
40.35833333333334,-102.55833330000002,0.0003811168972610799,2021-07-23,Top 20%
40.35833333333334,-102.14166663333334,0.0003811168972610799,2021-07-23,Top 20%
40.10833333333334,-102.47499996666667,0.0003811168972610799,2021-07-23,Top 20%
